	id	codigo_ngbe	codigo_ngbe_text	nombre_extendido	identificador_geografico	nombre_alternativo_2	nombre_alternativo_3	nombre_variante_1	nombre_variante_2	nombre_variante_3	fuente_extendido	fuente_idg	fuente_alternativo_2	fuente_alternativo_3	fuente_variante_1	fuente_variante_2	fuente_variante_3	idioma_extendido	idioma_idg	idioma_alternativo_2	idioma_alternativo_3	idioma_variante_1	idioma_variante_2	idioma_variante_3	estatus_extendido	estatus_idg	estatus_alternativo_2	estatus_alternativo_3	estatus_variante_1	estatus_variante_2	estatus_variante_3	long_etrs89_regcan95	lat_etrs89_regcan95	huso_etrs89_regcan95	x_utm_etrs89_regcan95	y_utm_etrs89_regcan95	hojamtn_25	codigo_ine	provincias_nombre	provincias_id
2939	2708344	1.3	División administrativa.Municipio		Baeza							MITMA.IGN.NGMEP														Oficial						-3.4693067	37.99003004	30.0	458790.435161687	4204812.7180044	0927c1	23009000000	Jaén	23
2984	2707609	1.3	División administrativa.Municipio		Arenas del Rey							MITMA.IGN.NGMEP														Oficial						-3.89435636	36.95781442	30.0	420378.843640505	4090566.23633057	1040c2	18020000000	Granada	18
3000	2709303	1.3	División administrativa.Municipio		Ardales							MITMA.IGN.NGMEP														Oficial						-4.84547635	36.87640909	30.0	335523.359232649	4082752.04869589	1038c3	29018000000	Málaga	29
3008	2707624	1.3	División administrativa.Municipio		Calicasas							MITMA.IGN.NGMEP														Oficial						-3.61846278	37.27353143	30.0	445169.072352946	4125396.02701048	1009c2	18037000000	Granada	18
3016	2707612	1.3	División administrativa.Municipio		Baza							MITMA.IGN.NGMEP														Oficial						-2.77485648	37.49077779	30.0	519902.913007097	4149342.00633915	0994c1	18023000000	Granada	18
3037	2707614	1.3	División administrativa.Municipio		Beas de Guadix							MITMA.IGN.NGMEP														Oficial						-3.2055964	37.2809596	30.0	481774.357939951	4126060.67948457	1010c2	18025000000	Granada	18
3038	2708353	1.3	División administrativa.Municipio		Campillo de Arenas							MITMA.IGN.NGMEP														Oficial						-3.63530988	37.55559065	30.0	443886.271109934	4156698.37474375	0969c4	23019000000	Jaén	23
3040	2708347	1.3	División administrativa.Municipio		Beas de Segura							MITMA.IGN.NGMEP														Oficial						-2.88730567	38.2506588	30.0	509860.49015952	4233632.73284501	0886c2	23012000000	Jaén	23
3043	2708352	1.3	División administrativa.Municipio		Cambil							MITMA.IGN.NGMEP														Oficial						-3.56676191	37.67738522	30.0	450022.411511644	4170172.30932408	0947c4	23018000000	Jaén	23
3096	2710878	1.3	División administrativa.Municipio		Carmona							MITMA.IGN.NGMEP														Oficial						-5.63324752	37.47265463	30.0	267140.713742586	4150564.3257495	0985c2	41024000000	Sevilla	41
3120	2709325	1.3	División administrativa.Municipio		Casarabonela							MITMA.IGN.NGMEP														Oficial						-4.84309805	36.78480634	30.0	335539.300559652	4072584.95941866	1052c1	29040000000	Málaga	29
3144	2708350	1.3	División administrativa.Municipio		Benatae							MITMA.IGN.NGMEP														Oficial						-2.65078278	38.35363706	30.0	530512.563608177	4245110.67055913	0865c4	23016000000	Jaén	23
3153	2707626	1.3	División administrativa.Municipio		Caniles							MITMA.IGN.NGMEP														Oficial						-2.72312271	37.43694658	30.0	524493.793152576	4143382.04237289	0994c1	18039000000	Granada	18
3201	2708341	1.3	División administrativa.Municipio		Arjona							MITMA.IGN.NGMEP														Oficial						-4.05446885	37.93559892	30.0	407338.258779939	4199193.86010265	0925c1	23006000000	Jaén	23
3203	2708342	1.3	División administrativa.Municipio		Arjonilla							MITMA.IGN.NGMEP														Oficial						-4.10757675	37.9742431	30.0	402722.232917282	4203535.81644885	0925c1	23007000000	Jaén	23
3329	2709317	1.3	División administrativa.Municipio		Campillos							MITMA.IGN.NGMEP														Oficial						-4.86223442	37.04734424	30.0	334400.427161517	4101746.13040784	1022c4	29032000000	Málaga	29
3398	2708355	1.3	División administrativa.Municipio		Carboneros							MITMA.IGN.NGMEP														Oficial						-3.63131974	38.2293919	30.0	444744.650567524	4231455.4078023	0884c4	23021000000	Jaén	23
3418	2707632	1.3	División administrativa.Municipio		Castril							MITMA.IGN.NGMEP														Oficial						-2.77929932	37.79447243	30.0	519430.895867919	4183034.64242581	0950c1	18046000000	Granada	18
3434	2708359	1.3	División administrativa.Municipio		Cazalilla							MITMA.IGN.NGMEP														Oficial						-3.88204485	37.9841708	30.0	422541.426446883	4204425.69666746	0925c2	23027000000	Jaén	23
3437	2708360	1.3	División administrativa.Municipio		Cazorla							MITMA.IGN.NGMEP														Oficial						-3.00134534	37.91223066	30.0	499881.742105452	4196076.90286641	0928c4	23028000000	Jaén	23
3440	2709332	1.3	División administrativa.Municipio		Cuevas Bajas							MITMA.IGN.NGMEP														Oficial						-4.48846113	37.23576989	30.0	367968.601485789	4122065.48061652	1007c3	29047000000	Málaga	29
3443	2709334	1.3	División administrativa.Municipio		Cuevas de San Marcos							MITMA.IGN.NGMEP														Oficial						-4.41410228	37.26765901	30.0	374617.715109683	4125502.36398162	1007c1	29049000000	Málaga	29
3454	2707701	1.3	División administrativa.Municipio		Montillana							MITMA.IGN.NGMEP														Oficial						-3.67229243	37.50191737	30.0	440577.185426589	4150766.30419392	0969c4	18137000000	Granada	18
3483	2707642	1.3	División administrativa.Municipio		Chauchina							MITMA.IGN.NGMEP														Oficial						-3.77093889	37.20165324	30.0	431585.900169268	4117521.10023037	1009c3	18059000000	Granada	18
3487	2708361	1.3	División administrativa.Municipio		Chiclana de Segura							MITMA.IGN.NGMEP														Oficial						-3.04258039	38.31234258	30.0	496277.467186294	4240471.85922324	0886c1	23029000000	Jaén	23
3503	2707634	1.3	División administrativa.Municipio		Cijuela							MITMA.IGN.NGMEP														Oficial						-3.81055129	37.19984762	30.0	428068.869707337	4117350.11996981	1009c3	18048000000	Granada	18
3506	2721441	1.3	División administrativa.Municipio		Chucena							MITMA.IGN.NGMEP														Oficial						-6.39509296	37.36036663	29.0	730697.128107224	4138033.81826669	0983c3	21030000000	Huelva	21
3507	2707643	1.3	División administrativa.Municipio		Chimeneas							MITMA.IGN.NGMEP														Oficial						-3.8211484	37.13262106	30.0	427063.849847246	4109900.13749671	1026c1	18061000000	Granada	18
3548	2707637	1.3	División administrativa.Municipio		Colomera							MITMA.IGN.NGMEP														Oficial						-3.71436522	37.3742622	30.0	436751.043703475	4136631.15819541	0991c3	18051000000	Granada	18
3553	2709328	1.3	División administrativa.Municipio		Colmenar							MITMA.IGN.NGMEP														Oficial						-4.33648163	36.90317629	30.0	380931.469790064	4084965.43915424	1039c4	29043000000	Málaga	29
3593	2707645	1.3	División administrativa.Municipio		Darro							MITMA.IGN.NGMEP														Oficial						-3.29325661	37.35059768	30.0	474027.439803129	4133806.7890747	0992c4	18063000000	Granada	18
3603	2709331	1.3	División administrativa.Municipio		Cortes de la Frontera							MITMA.IGN.NGMEP														Oficial						-5.34243171	36.61781253	30.0	290524.166426725	4055031.37232833	1064c2	29046000000	Málaga	29
3626	2707648	1.3	División administrativa.Municipio		Diezma							MITMA.IGN.NGMEP														Oficial						-3.33182232	37.32111088	30.0	470600.330042583	4130546.82575964	1010c2	18067000000	Granada	18
3631	2707647	1.3	División administrativa.Municipio		Deifontes							MITMA.IGN.NGMEP														Oficial						-3.59424027	37.32594516	30.0	447353.130607729	4131197.06683729	1009c2	18066000000	Granada	18
3633	2710889	1.3	División administrativa.Municipio		Dos Hermanas							MITMA.IGN.NGMEP														Oficial						-5.91334407	37.28894862	30.0	241736.41990541	4130907.04787577	1002c2	41038000000	Sevilla	41
3741	2706700	1.3	División administrativa.Municipio		Espera							MITMA.IGN.NGMEP														Oficial						-5.80597479	36.87151829	30.0	249887.716236391	4084296.12141464	1035c3	11017000000	Cádiz	11
3799	2710892	1.3	División administrativa.Municipio		Estepa							MITMA.IGN.NGMEP														Oficial						-4.8765968	37.28845167	30.0	333652.66470561	4128522.747795	1005c2	41041000000	Sevilla	41
