	codparcela	min_fecha	max_fecha	102_coordenada_x_(utm)	103_coordenada_y_(utm)	days
2990	018-00008-00-00	2007-03-20	2007-11-26	326068.0	4173229.0	251
2991	018-00008-00-A1	2008-04-01	2018-11-06	444910.0	4133297.0	3871
2992	018-00008-04-01	2011-03-16	2017-10-18	325860.0	4173148.0	2408
2993	018-00008-39	2013-03-25	2015-11-09	432918.0	4204445.0	959
2994	018-00009-00-40	2008-03-12	2009-11-24	357524.0	4112223.0	622
2995	018-00009-04	2010-03-15	2010-11-22	357524.0	4112223.0	252
2996	018-00010-01-00	2011-03-01	2021-03-24	357941.0	4112309.0	3676
2997	018-00012-00-00	2008-03-10	2008-09-17	283107.0	4081747.0	191
2998	018-00012-00-01	2006-06-23	2007-10-29	283107.0	4081747.0	493
2999	018-00012-02-00	2009-03-17	2010-11-04	283107.0	4081747.0	597
