	municipio	provincia	codigo_ngbe_text	huso_etrs89_regcan95	long_etrs89_regcan95	lat_etrs89_regcan95	x_utm_etrs89_regcan95	y_utm_etrs89_regcan95
285	arahal	sevilla	División administrativa.Municipio	30	-5.54476269	37.26265472	274338.2444	4127045.506
286	badolatosa	sevilla	División administrativa.Municipio	30	-4.67235965	37.30789829	351796.5136	4130340.557
287	bollullos de la mitacion	sevilla		29				
288	campana  la	sevilla		30				
289	carmona	sevilla	División administrativa.Municipio	30	-5.63324752	37.47265463	267140.7137	4150564.326
290	casariche	sevilla	División administrativa.Municipio	30	-4.75917554	37.29540105	344076.5031	4129093.644
291	constantina	sevilla	División administrativa.Municipio	30	-5.62009557	37.87292437	269546.2625	4194951.997
292	corrales  los	sevilla		30				
293	dos hermanas	sevilla	División administrativa.Municipio	30	-5.91334407	37.28894862	241736.4199	4130907.048
294	ecija	sevilla		30				
295	espartinas	sevilla	División administrativa.Municipio	29	-6.12488688	37.38262852	754557.0321	4141199.513
296	estepa	sevilla	División administrativa.Municipio	30	-4.8765968	37.28845167	333652.6647	4128522.748
297	fuentes de andalucia	sevilla		30				
298	gerena	sevilla	División administrativa.Municipio	29	-6.1582894	37.52460734	751123.3665	4156866.311
299	gilena	sevilla	División administrativa.Municipio	30	-4.91428059	37.25226698	330230.665	4124574.855
300	herrera	sevilla	División administrativa.Municipio	30	-4.84797484	37.36666181	336359.8162	4137150.557
301	huevar	sevilla		29				
302	lantejuela  la	sevilla		30				
303	lora de estepa	sevilla	División administrativa.Municipio	30	-4.82593739	37.27018223	338104.5435	4126407.746
304	lora del rio	sevilla		30				
305	luisiana  la	sevilla		30				
306	marchena	sevilla	División administrativa.Municipio	30	-5.41641222	37.33366244	285923.3217	4134626.306
307	marinaleda	sevilla	División administrativa.Municipio	30	-4.96269072	37.37115941	326210.9549	4137854.715
308	martin de la jara	sevilla		30				
309	montellano	sevilla	División administrativa.Municipio	30	-5.57079248	36.99536489	271225.749	4097447.804
310	moron de la frontera	sevilla		30				
311	navas de la concepcion  las	sevilla		30				
312	olivares	sevilla	División administrativa.Municipio	29	-6.15621373	37.4183665	751663.1431	4145081.473
313	osuna	sevilla	División administrativa.Municipio	30	-5.10120623	37.23757134	313614.9092	4123296.082
314	paradas	sevilla	División administrativa.Municipio	30	-5.49618766	37.28989484	278726.2805	4129953.429
315	pedrera	sevilla	División administrativa.Municipio	30	-4.89550627	37.22335024	331831.5895	4121332.9
316	penaflor	sevilla		30				
317	pruna	sevilla	División administrativa.Municipio	30	-5.22174386	36.97277038	302233.6662	4094158.495
318	puebla de cazalla  la	sevilla		30				
319	rinconada  la	sevilla		30				
320	roda de andalucia  la	sevilla		30				
321	rubio  el	sevilla		30				
322	sanlucar la mayor	sevilla		29				
323	saucejo  el	sevilla		30				
324	utrera	sevilla	División administrativa.Municipio	30	-5.78089198	37.17935222	253123.1698	4118390.962
325	villanueva de san juan	sevilla	División administrativa.Municipio	30	-5.17565452	37.05037491	306533.741	4102674.412
